1. 
        city_name         | state_nm | origin_destination |                   unique_carrier_name                   | passengers 
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       5830
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       5262
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       6427
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4884
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       5282
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       5107
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       6484
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4952
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4247
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4881
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       5035
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       6608
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       6379
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       5959
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4193
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       5280
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       6614
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        143
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |         64
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        178
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        113
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        180
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        126
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        136
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        180
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        110
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        145
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        151
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        136
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        274
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        295
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        290
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        299
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        424
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        445
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |      13293
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        693
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        561
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |        877
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |      10040
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |      10202
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       9390
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       9170
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |      12093
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |      11739
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       8258
 Colorado Springs, CO      | Colorado | COS                | Frontier Airlines Inc.                                  |        917
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       8093
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       1275
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       1366
 Colorado Springs, CO      | Colorado | COS                | Frontier Airlines Inc.                                  |       1388
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       7563
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       1855
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       2180
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       1820
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       1849
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       2602
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       2455
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       2728
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       2234
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       2227
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       2319
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       2891
 Colorado Springs, CO      | Colorado | COS                | Frontier Airlines Inc.                                  |       2198
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       9407
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       3185
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       3366
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       5851
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       3723
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       3543
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       3589
 Colorado Springs, CO      | Colorado | COS                | Frontier Airlines Inc.                                  |       3208
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       3677
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       3388
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       5468
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4642
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       3949
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       3838
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4719
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4577
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4100
 Colorado Springs, CO      | Colorado | COS                | Frontier Airlines Inc.                                  |       4166
 Colorado Springs, CO      | Colorado | COS                | Frontier Airlines Inc.                                  |       3970
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4906
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4042
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       5791
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       6024
 Denver, CO                | Colorado | DEN                | Frontier Airlines Inc.                                  |       4238
